Symbol,Name,ISIN,CUSIP,Country,Expense_Ratio,AUM,Num_Holdings,Last_Updated,TickerIfSynth
EXW1.DE,iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,,DE,0.09,8041424202.0,55,2025-08-16 13:19:01,
DBXD.DE,Xtrackers DAX UCITS ETF 1C,LU0274211480,,LU,0.09,6588653400.0,45,2025-08-16 13:19:03,
SXRT.DE,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),IE00B53L3W79,,IE,0.1,5479630850.0,56,2025-08-16 13:19:05,
SXR7.DE,iShares Core MSCI EMU UCITS ETF EUR (Acc),IE00B53QG562,,IE,0.12,6940543705.0,229,2025-08-16 13:19:06,
CW8.PA,Amundi MSCI World UCITS ETF EUR (C),LU1681043599,,LU,0.38,5738695292.0,1322,2025-08-16 13:19:11,MWRD.PA
EUN2.DE,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),IE0008471009,,IE,0.1,4609980911.0,56,2025-08-16 13:19:15,
VEUR.AS,Vanguard FTSE Developed Europe UCITS ETF Distributing,IE00B945VV12,G9T17W186,IE,0.1,5281076275.0,540,2025-08-16 13:19:17,
MSE.PA,Amundi EURO STOXX 50 II UCITS ETF Acc,FR0007054358,,FR,0.2,3725322910.0,57,2025-08-16 13:19:19,
CAC.PA,Amundi CAC 40 UCITS ETF Dist,FR0007052782,,FR,0.25,4074428266.0,48,2025-08-16 13:19:21,
ESE.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR,IE00B5BMR087,,IE,0.07,110629803627.0,510,2025-08-16 13:19:22,SXR8.DE
0XC5.L,BNP Paribas Easy S&P 500 UCITS ETF USD,IE00B5BMR087,,IE,0.07,110629803627.0,510,2025-08-16 13:19:26,SXR8.DE
VERX.DE,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Distributing Shares,IE00BKX55S42,G9T17W210,IE,0.1,3804086869.0,433,2025-08-16 13:19:29,
C50.PA,Amundi EURO STOXX 50 UCITS ETF EUR (C),LU1681047236,,LU,0.09,3484808915.0,58,2025-08-16 13:19:31,
EXSI.DE,iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,,DE,0.2,2590082204.0,305,2025-08-16 13:19:33,
BNKE.PA,Amundi Euro Stoxx Banks UCITS ETF Acc,LU1829219390,,LU,0.3,2710816547.0,31,2025-08-16 13:19:34,
EPAB.PA,Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc,LU2195226068,,LU,0.2,2449811235.0,103,2025-08-16 13:19:36,
EXS3.DE,iShares MDAX UCITS ETF (DE),DE0005933923,,DE,0.51,2205634770.0,56,2025-08-16 13:19:38,
XD5E.DE,Xtrackers MSCI EMU UCITS ETF 1D,LU0846194776,,LU,0.12,2358900600.0,226,2025-08-16 13:19:39,
BNK.PA,Amundi STOXX Europe 600 Banks UCITS ETF Acc,LU1834983477,,LU,0.3,1708232833.0,71,2025-08-16 13:19:41,EXV1.DE
CG1.PA,Amundi ETF DAX UCITS ETF DR,FR0010655712,,FR,0.1,1553900220.0,43,2025-08-16 13:19:44,
EXX1.DE,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),DE0006289309,,DE,0.52,1616227171.0,33,2025-08-16 13:19:45,
DAX.PA,Amundi DAX III UCITS ETF Acc,LU0252633754,,LU,0.15,1282167353.0,42,2025-08-16 13:19:47,
EUDV.PA,SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,,IE,0.3,1279140000.0,44,2025-08-16 13:19:49,
CMU.PA,Amundi MSCI EMU ESG Leaders Select UCITS ETF DR EUR (C),,,,,,115,2025-08-16 13:19:50,
IQQA.DE,iShares Euro Dividend UCITS ETF,IE00B0M62S72,,IE,0.4,1105198468.0,36,2025-08-16 13:19:54,
ETZ.PA,BNP Paribas Easy STOXX Europe 600 UCITS ETF,LU0908500753,,LU,0.07,13004777020.0,613,2025-08-16 13:19:55,MEUD.PA
ESEH.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged,IE00B3ZW0K18,,IE,0.2,7428311812.0,511,2025-08-16 13:19:59,IBCF.DE
VERE.DE,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating Shares,IE00BK5BQY34,G9T17Y695,DE,0.1,3804086869.0,433,2025-08-16 13:20:01,
MFED.PA,Amundi MSCI EMU ESG Broad Transition UCITS ETF Acc,LU0908501058,,LU,0.12,874253679.0,210,2025-08-16 13:20:07,
CD5.PA,Amundi EURO STOXX 50 UCITS ETF DR - EUR (D),LU1681047319,,LU,0.09,3484808915.0,58,2025-08-16 13:20:09,
